"site","lat","long"
"06483",41.38097218,-73.08746814
"06515",41.32791171,-72.9698103
"06705",41.54850372,-72.99333736
"06513",41.31963723,-72.86845051
"06340",41.35472519,-72.04386329
"06330",41.64286099,-72.0754727
"06353",41.45849736,-72.14183261
"06232",41.73310537,-72.37626165
"06066",41.83640446,-72.46084978
"06237",41.69419545,-72.30749238
"06387",41.74273218,-71.91076548
"06855",41.08372866,-73.39669634
"06870",41.02351255,-73.57015553
"06119",41.76340719,-72.72743451
"06037",41.61126755,-72.777994
"06032",41.72529813,-72.83161015
"06027",42.00396518,-72.91206065
"06062",41.67337497,-72.86098927
"06109",41.70128179,-72.67057244
"06022",41.86541921,-72.92755267
"06040",41.76164671,-72.52273391
"06759",41.75753094,-73.21426503
"06796",41.87039319,-73.33307736
"06787",41.67017339,-73.08608296
"06785",41.69945338,-73.44470292
"06068",42.01475529,-73.42067378
"06795",41.61862009,-73.12303523
"06422",41.46220989,-72.68310759
"06413",41.29622806,-72.52984597
"06417",41.3689213,-72.46251875
"06424",41.55889305,-72.505861
"06456",41.53974509,-72.55038301
"06511",41.31620258,-72.92702171
"06704",41.58646298,-73.03344959
"06716",41.60064178,-72.97358619
"06380",41.56546925,-72.05332473
"06333",41.38592433,-72.24528582
"06351",41.58913758,-71.94958424
"06336",41.57933248,-72.19515849
"06365",41.52229433,-72.00125529
"06084",41.87889718,-72.36481869
"06242",41.89310072,-72.09542362
"06255",41.98823362,-71.90276934
"06256",41.73704168,-72.1575218
"06266",41.67273597,-72.17043524
