Zip Code,City,County,
6752,Bridgewater,Litchfield,
6753,Cornwall,Litchfield,
6754,Cornwall Bridge,Litchfield,
6755,Gaylordsville,Litchfield,
6756,Goshen,Litchfield,
6757,Kent,Litchfield,
6758,Lakeside,Litchfield,
6759,Litchfield,Litchfield,
6762,Middlebury,New Haven,
6763,Morris,Litchfield,
6770,Naugatuck,New Haven,
6776,New Milford,Litchfield,
6777,New Preston Marble Dale,Litchfield,
6778,Northfield,Litchfield,
6779,Oakville,Litchfield,
6781,Pequabuck,Litchfield,
6782,Plymouth,Litchfield,
6783,Roxbury,Litchfield,
6784,Sherman,Fairfield,
6785,South Kent,Litchfield,
6786,Terryville,Litchfield,
6787,Thomaston,Litchfield,
6790,Torrington,Litchfield,
6791,Harwinton,Litchfield,
6792,Torrington,Litchfield,
6793,Washington,Litchfield,
6794,Washington Depot,Litchfield,
6795,Watertown,Litchfield,
6796,West Cornwall,Litchfield,
6798,Woodbury,Litchfield,
6801,Bethel,Fairfield,
6804,Brookfield,Fairfield,
6807,Cos Cob,Fairfield,
6810,Danbury,Fairfield,
6811,Danbury,Fairfield,
6812,New Fairfield,Fairfield,
6813,Danbury,Fairfield,
6814,Danbury,Fairfield,
6816,Danbury,Fairfield,
6817,Danbury,Fairfield,
6820,Darien,Fairfield,
6824,Fairfield,Fairfield,
6825,Fairfield,Fairfield,
6828,Fairfield,Fairfield,
6829,Georgetown,Fairfield,
6830,Greenwich,Fairfield,
6831,Greenwich,Fairfield,
6832,Greenwich,Fairfield,
6836,Greenwich,Fairfield,
6838,Greens Farms,Fairfield,
6840,New Canaan,Fairfield,
6842,New Canaan,Fairfield,
6850,Norwalk,Fairfield,
6851,Norwalk,Fairfield,
6852,Norwalk,Fairfield,
6853,Norwalk,Fairfield,
6854,Norwalk,Fairfield,
6855,Norwalk,Fairfield,
6856,Norwalk,Fairfield,
6857,Norwalk,Fairfield,
6858,Norwalk,Fairfield,
6859,Norwalk,Fairfield,
6860,Norwalk,Fairfield,
6870,Old Greenwich,Fairfield,
6875,Redding Center,Fairfield,
6876,Redding Ridge,Fairfield,
6877,Ridgefield,Fairfield,
6878,Riverside,Fairfield,
6879,Ridgefield,Fairfield,
6880,Westport,Fairfield,
6881,Westport,Fairfield,
6883,Weston,Fairfield,
6888,Westport,Fairfield,
6889,Westport,Fairfield,
6890,Southport,Fairfield,
6896,Redding,Fairfield,
6897,Wilton,Fairfield,
6901,Stamford,Fairfield,
6902,Stamford,Fairfield,
6903,Stamford,Fairfield,
6904,Stamford,Fairfield,
6905,Stamford,Fairfield,
6906,Stamford,Fairfield,
6907,Stamford,Fairfield,
6910,Stamford,Fairfield,
6911,Stamford,Fairfield,
6912,Stamford,Fairfield,
6913,Stamford,Fairfield,
6914,Stamford,Fairfield,
6920,Stamford,Fairfield,
6921,Stamford,Fairfield,
6922,Stamford,Fairfield,
6925,Stamford,Fairfield,
6926,Stamford,Fairfield,
6927,Stamford,Fairfield,
6928,Stamford,Fairfield,
